Processo,Classe,Assunto,Comarca,Ano,Especializada
4002763-78.2024.8.04.0000,Mandado de Segurança,Gratificação de curso,Comarca de Manaus,2024.0,CPRAC - PPC
0450261-73.2024.8.04.0001,Mandado de Segurança,Gratificação de curso,Comarca de Manaus,2024.0,CPRAC - PPC
0492294-78.2024.8.04.0001,Homologação de Transação Extrajudicial,Promoção de Investigador de Polícia,Comarca de Manaus,2024.0,CPRAC - PPC
0492291-26.2024.8.04.0001,Homologação de Transação Extrajudicial,Promoção de Escrivão de Polícia,Comarca de Manaus,2024.0,CPRAC - PPC
0036429-48.2024.8.04.1000,Procedimento do Juizado da Fazenda Pública,Promoção de Investigador de Polícia,Comarca de Manaus,2024.0,CPRAC - PPC
0038883-98.2024.8.04.1000,Procedimento do Juizado da Fazenda Pública,Indenização de férias,Comarca de Manaus,2024.0,CPRAC - PPC
4006032-28.2024.8.04.0000,Mandado de Segurança,Gratificação de curso,Tribunal De Justiça,2024.0,CPRAC - PPC
4002682-32.2024.8.04.0000,Mandado de Segurança,Gratificação de curso,Comarca de Manaus,2024.0,CPRAC - PPC
0037608-17.2024.8.04.1000,Procedimento do Juizado da Fazenda Pública,Gratificação de curso,Comarca de Manaus,2024.0,CPRAC - PPC
0056662-66.2024.8.04.1000,Procedimento Comum,Promoção,Comarca de Manaus,2024.0,CPRAC - PPC
0065768-52.2024.8.04.1000,Procedimento do Juizado da Fazenda Pública,Gratificação de curso,Comarca de Manaus,2024.0,CPRAC - PPC
0054826-58.2024.8.04.1000,Reclamação Pré-processual,Gratificação de curso,Comarca de Manaus,2024.0,CPRAC - PPC
0058333-27.2024.8.04.1000,Reclamação Pré-processual,Indenização de licença especial,Comarca de Manaus,2024.0,CPRAC - PPC
0076545-96.2024.8.04.1000,Reclamação Pré-processual,3a Parcela Escalonamento,Comarca de Manaus,2024.0,CPRAC - PPC
0083176-56.2024.8.04.1000,Reclamação Pré-processual,Abono de permanência em serviço,Comarca de Manaus,2024.0,CPRAC - PPC
0077130-51.2024.8.04.1000,Reclamação Pré-processual,Gratificação de curso,Comarca de Manaus,2024.0,CPRAC - PPC
0083323-82.2024.8.04.1000,Reclamação Pré-processual,Abono de permanência em serviço,Comarca de Manaus,2024.0,CPRAC - PPC
0083314-23.2024.8.04.1000,Reclamação Pré-processual,Promoção de Investigador de Polícia,Comarca de Manaus,2024.0,CPRAC - PPC
0083348-95.2024.8.04.1000,Reclamação Pré-processual,Promoção de Investigador de Polícia,Comarca de Manaus,2024.0,CPRAC - PPC
0083271-86.2024.8.04.1000,Reclamação Pré-processual,Abono de permanência em serviço,Comarca de Manaus,2024.0,CPRAC - PPC
0083255-35.2024.8.04.1000,Reclamação Pré-processual,Abono de permanência em serviço,Comarca de Manaus,2024.0,CPRAC - PPC
0083193-92.2024.8.04.1000,Reclamação Pré-processual,3a Parcela Escalonamento,Comarca de Manaus,2024.0,CPRAC - PPC
0083203-39.2024.8.04.1000,Reclamação Pré-processual,3a Parcela Escalonamento,Comarca de Manaus,2024.0,CPRAC - PPC
